img_id,Front bumper,Trunk lid,Bonnet,Head lights(L),Rear bumper,Rear door(R),Front door(R),Rear fender(R),Rear fender(L),Rear lamp(R),Side mirror(R),A pillar(L),Rear door(L),Front door(L),Front fender(R),Front Wheel(L),Front Wheel(R),Rear lamp(L),Front fender(L),Rocker panel(R),Head lights(R),Rear Wheel(R),Rear Wheel(L),C pillar(L),Side mirror(L),Rocker panel(L),Windshield,C pillar(R),Rear windshield,Undercarriage,Roof,A pillar(R),B pillar(R),total_anns,ran_var,dataset
0000016_as-0031772.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,test
0000024_sc-203122.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,train
0000058_as-0082746.json,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,train
0000078_as-0035111.json,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,train
0000096_sc-126705.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,train
0000097_sc-126705.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,train
0000122_as-0038448.json,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,train
0000176_sc-153567.json,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,train
0000312_as-0075428.json,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,val
0000389_as-0046441.json,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,val
0000427_sc-1007428.json,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,test
0000437_sc-164159.json,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,train
0000440_as-0039802.json,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,train
0000525_as-0081945.json,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,train
0000530_as-2735823.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,train
0000581_sc-129920.json,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,train
0000723_as-0013883.json,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,train
0000773_as-0049741.json,1,,,,,,1,,,,,,,1,1,1,1,,1,,,,,,,,,,,,,,,7,,train
0000774_as-0049741.json,1,,,,,,1,,,,,,,1,1,1,1,,1,,,,,,,,,,,,,,,7,,val
0000775_as-0049741.json,1,,,,,,1,,,,,,,1,1,1,1,,1,,,,,,,,,,,,,,,7,,val
0000777_as-0049741.json,1,,,,,,1,,,,,,,1,1,1,1,,1,,,,,,,,,,,,,,,7,,test
0000882_as-0050809.json,,,,,1,,,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,5,,train
