index,Scratched,Breakage,Separated,Crushed,total_anns,ran_var,dataset
0506233_sc-202337.jpg,0,1,1,0,2,,test
0506234_sc-202337.jpg,0,0,3,0,3,,train
0506235_sc-202337.jpg,1,0,2,0,3,,train
0506236_sc-202337.jpg,1,0,1,0,2,,train
0506237_sc-202337.jpg,2,0,1,0,3,,train
0506238_as-3203576.jpg,2,0,0,0,2,,train
0506239_as-3483186.jpg,0,0,1,0,1,,train
0506240_as-7962812.jpg,1,1,1,1,4,,train
0506241_sc-190131.jpg,2,0,1,0,3,,val
0506245_sc-198049.jpg,1,0,0,1,2,,val
0506246_sc-198049.jpg,5,0,1,1,7,,test
0506247_sc-198049.jpg,2,0,0,1,3,,train
0506248_sc-221145.jpg,1,0,2,0,3,,train
0506249_sc-131618.jpg,1,0,0,0,1,,train
0506250_sc-131618.jpg,1,0,0,1,2,,train
0506251_sc-131618.jpg,1,0,0,1,2,,train
0506252_sc-131618.jpg,1,0,0,0,1,,train
0506253_sc-131618.jpg,2,0,1,1,4,,train
0506254_sc-124992.jpg,1,0,0,0,1,,val
0506256_sc-124992.jpg,1,0,0,0,1,,val
0506257_sc-145679.jpg,1,0,0,0,1,,test
0506258_sc-145679.jpg,1,0,0,0,1,,train
0506259_sc-224820.jpg,5,0,1,1,7,,train
0506260_sc-1024333.jpg,5,0,0,0,5,,train
0506261_sc-1024333.jpg,4,0,0,0,4,,train
0506262_as-9091727.jpg,1,1,0,0,2,,train
0506263_sc-222093.jpg,2,0,0,1,3,,train
0506264_as-2700163.jpg,7,0,1,1,9,,train
0506266_sc-227628.jpg,3,0,0,0,3,,val
0506268_as-2719480.jpg,0,1,0,0,1,,val
0506271_sc-147905.jpg,2,0,0,1,3,,test
0506272_as-2836626.jpg,1,0,0,1,2,,train
0506273_sc-1006409.jpg,2,0,0,0,2,,train
0506274_sc-1006409.jpg,0,0,1,0,1,,train
0506275_sc-1006409.jpg,1,0,0,0,1,,train
0506276_as-7545067.jpg,2,0,0,0,2,,train
0506278_as-0017846.jpg,1,0,0,0,1,,train
0506279_as-0033822.jpg,1,0,0,1,2,,train
0506280_as-0034254.jpg,1,0,0,2,3,,val
0506281_as-0034254.jpg,1,0,0,0,1,,val
0506282_as-0034254.jpg,1,0,0,0,1,,test
0506283_as-0034254.jpg,2,0,0,0,2,,train
0506284_as-0034254.jpg,1,0,0,0,1,,train
0506285_as-0034254.jpg,1,0,0,0,1,,train
0506286_sc-109140.jpg,4,0,0,0,4,,train
0506287_sc-109140.jpg,1,0,0,0,1,,train
0506288_as-2842853.jpg,1,0,0,0,1,,train
0506289_sc-182108.jpg,5,1,0,0,6,,train
0506290_sc-182108.jpg,4,0,1,1,6,,val
0506291_sc-182108.jpg,5,1,1,0,7,,val
0506292_sc-182108.jpg,1,0,1,1,3,,test
0506293_sc-182108.jpg,6,0,0,1,7,,train
0506294_sc-121119.jpg,1,0,0,0,1,,train
0506295_sc-121119.jpg,1,0,0,0,1,,train
0506298_sc-121119.jpg,1,0,0,0,1,,train
0506300_sc-121119.jpg,1,0,0,0,1,,train
0506301_sc-1037108.jpg,1,0,0,0,1,,train
0506302_sc-1037108.jpg,0,0,1,1,2,,train
0506303_as-0052356.jpg,1,0,0,0,1,,val
0506304_as-0052356.jpg,1,0,0,0,1,,val
0506305_as-0052356.jpg,1,0,0,0,1,,test
0506306_as-0052356.jpg,2,0,0,0,2,,train
0506307_as-0052356.jpg,1,0,0,0,1,,train
0506308_sc-166817.jpg,7,1,1,1,10,,train
0506309_sc-166817.jpg,3,1,1,0,5,,train
0506310_sc-166817.jpg,3,0,3,0,6,,train
0506311_sc-166817.jpg,1,1,1,0,3,,train
